# == pyFAI calibration ==
# Distance Sample to Detector: 2.9997704 m
# PONI: 4.785e-01, 4.477e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2999.770 mm
# Center: x=59.700, y=63.800 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.99764e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1
# --> AL_P188_Px10mgml_f5370359_r1d.csv
#        q_A^-1              I           sigma 
  1.855692e-01    4.748411e+01   9.605136e-01
  1.861111e-01    4.743365e+01   9.842569e-01
  1.866530e-01    4.762915e+01   9.896629e-01
  1.871949e-01    4.765796e+01   9.846597e-01
  1.877368e-01    4.746134e+01   9.725351e-01
  1.882788e-01    4.724154e+01   9.753777e-01
  1.888207e-01    4.712234e+01   9.794674e-01
  1.893626e-01    4.739637e+01   9.909797e-01
  1.899045e-01    4.747368e+01   9.948925e-01
  1.904464e-01    4.737330e+01   9.962927e-01
  1.909883e-01    4.743167e+01   1.043716e+00
  1.915302e-01    4.759904e+01   1.099265e+00
  1.920721e-01    4.775183e+01   1.124915e+00
  1.926140e-01    4.788657e+01   1.144700e+00
  1.931559e-01    4.755442e+01   1.152853e+00
  1.936978e-01    4.741822e+01   1.151510e+00
  1.942397e-01    4.725623e+01   1.150683e+00
  1.947816e-01    4.692179e+01   1.125267e+00
  1.953235e-01    4.706823e+01   1.098446e+00
  1.958654e-01    4.672580e+01   1.093875e+00
  1.964073e-01    4.631681e+01   1.086360e+00
  1.969492e-01    4.619502e+01   1.087906e+00
  1.974911e-01    4.626780e+01   1.073622e+00
  1.980330e-01    4.617433e+01   1.074946e+00
  1.985749e-01    4.646313e+01   1.080237e+00
  1.991168e-01    4.662305e+01   1.100470e+00
  1.996587e-01    4.655593e+01   1.106487e+00
  2.002006e-01    4.701828e+01   1.131415e+00
  2.007425e-01    4.755501e+01   1.171333e+00
  2.012844e-01    4.765098e+01   1.183395e+00
  2.018263e-01    4.771709e+01   1.221678e+00
  2.023682e-01    4.758873e+01   1.231359e+00
  2.029101e-01    4.747139e+01   1.234914e+00
  2.034520e-01    4.741317e+01   1.198511e+00
  2.039939e-01    4.711867e+01   1.203209e+00
  2.045358e-01    4.709721e+01   1.217374e+00
  2.050777e-01    4.740215e+01   1.242435e+00
  2.056196e-01    4.752613e+01   1.250251e+00
  2.061615e-01    4.715407e+01   1.240187e+00
  2.067034e-01    4.693996e+01   1.279150e+00
  2.072453e-01    4.688310e+01   1.335006e+00
  2.077872e-01    4.666533e+01   1.332709e+00
  2.083291e-01    4.656616e+01   1.317920e+00
  2.088710e-01    4.653380e+01   1.311377e+00
  2.094129e-01    4.616415e+01   1.314813e+00
